1905,0,0,0,0,0,0,0.95158577,0.50206333,1.16811156,0.60259426,0.61608857,1.29997385,0.59037018,1.29219627,0.79371285,1.72659993,0,0,0,0,0,0,0,52:58.0,0,0,,,,,,,,,,,,,,,,,,
1906,0,0,0,0,0,0,0.9200418,0.39581716,1.11391783,0.60900253,0.58265817,1.21531868,0.54092932,1.22782779,0.74967158,1.61644471,0,0,0,0,0,0,0,52:58.0,0,0,,,,,,,,,,,,,,,,,,
1907,0,0,0,0,0,0,0.93899477,0.45603094,1.18973207,0.67047572,0.64125645,1.39399302,0.68171984,1.24522018,0.84403747,1.69540989,0,0,0,0,0,0,0,52:58.0,0,0,,,,,,,,,,,,,,,,,,
1908,0,0,0,0,0,0,0.87677485,0.46351862,1.14678895,0.68125135,0.589867,1.28224564,0.71632576,1.13419986,0.80831504,1.60445297,0,0,0,0,0,0,0,52:58.0,0,0,,,,,,,,,,,,,,,,,,
1909,0,0,0,0,0,0,0.9594065,0.36401325,1.17602217,0.66702437,0.57462776,1.23673022,0.58819199,1.11552095,0.77031559,1.45723903,0,0,0,0,0,0,0,52:59.0,0,0,,,,,,,,,,,,,,,,,,
1910,0,0,0,0,0,0,1.02536964,0.41295904,1.27882135,0.72123182,0.6182313,1.36279953,0.7276029,1.11800027,0.87478071,1.41936719,0,0,0,0,0,0,0,52:59.0,0,0,,,,,,,,,,,,,,,,,,
1911,0,0,0,0,0,0,1.02205968,0.36748672,1.24424779,0.7449919,0.59681445,1.30300844,0.71874446,1.09718359,0.83471125,1.32366049,0,0,0,0,0,0,0,52:59.0,0,0,,,,,,,,,,,,,,,,,,
1912,0,0,0,0,0,0,0.5863772,0.19252093,0.91638017,0.84424186,0.44735113,1.04261327,0.78524047,0.73215103,0.76335341,1.04712617,0,0,0,0,0,0,0,52:59.0,0,0,,,,,,,,,,,,,,,,,,
1913,0,0,0,0,0,0,0.82534403,0.28461716,1.24625146,0.7992714,0.56457394,1.3285625,0.81260598,1.01001382,0.87193221,1.3220799,0,0,0,0,0,0,0,52:59.0,0,0,,,,,,,,,,,,,,,,,,
1914,0,0,0,0,0,0,0.77627742,0.3178508,1.22631252,0.73039752,0.53977811,1.31713247,0.65317982,0.98308104,0.8053112,1.31402731,0,0,0,0,0,0,0,53:00.0,0,0,,,,,,,,,,,,,,,,,,
1915,0,0,0,0,0,0,0.79010093,0.30426899,1.19471669,0.71043766,0.49695683,1.23009109,0.57460421,0.97666073,0.7234562,1.36248696,0,0,0,0,0,0,0,53:00.0,0,0,,,,,,,,,,,,,,,,,,
1916,0,0,0,0,0,0,0.91529512,0.34799039,1.33306587,0.76737553,0.55810696,1.35177255,0.71163625,1.02121282,0.8284049,1.50191569,0,0,0,0,0,0,0,53:00.0,0,0,,,,,,,,,,,,,,,,,,
